slug,is_pass
two-sum,1
palindrome-number,1
roman-to-integer,1
longest-common-prefix,1
valid-parentheses,1
merge-two-sorted-lists,1
remove-duplicates-from-sorted-array,1
remove-element,1
find-the-index-of-the-first-occurrence-in-a-string,1
search-insert-position,1
length-of-last-word,1
plus-one,1
add-binary,1
sqrtx,1
climbing-stairs,1
remove-duplicates-from-sorted-list,1
merge-sorted-array,1
binary-tree-inorder-traversal,1
same-tree,1
find-common-characters,1
maximize-sum-of-array-after-k-negations,1
complement-of-base-10-integer,0
symmetric-tree,1
partition-array-into-three-parts-with-equal-sum,1
binary-prefix-divisible-by-5,1
remove-outermost-parentheses,0
sum-of-root-to-leaf-binary-numbers,1
divisor-game,1
matrix-cells-in-distance-order,1
valid-boomerang,1
maximum-depth-of-binary-tree,1
last-stone-weight,1
remove-all-adjacent-duplicates-in-string,1
height-checker,1
greatest-common-divisor-of-strings,1
occurrences-after-bigram,1
convert-sorted-array-to-binary-search-tree,1
duplicate-zeros,1
balanced-binary-tree,1
distribute-candies-to-people,1
defanging-an-ip-address,1
minimum-depth-of-binary-tree,1
print-in-order,1
path-sum,1
relative-sort-array,1
number-of-equivalent-domino-pairs,1
n-th-tribonacci-number,1
day-of-the-year,1
find-words-that-can-be-formed-by-characters,1
prime-arrangements,1
pascals-triangle,1
distance-between-bus-stops,1
day-of-the-week,1
maximum-number-of-balloons,1
pascals-triangle-ii,1
minimum-absolute-difference,1
unique-number-of-occurrences,1
best-time-to-buy-and-sell-stock,1
minimum-cost-to-move-chips-to-the-same-position,1
split-a-string-in-balanced-strings,1
check-if-it-is-a-straight-line,1
valid-palindrome,1
cells-with-odd-values-in-a-matrix,1
shift-2d-grid,1
minimum-time-visiting-all-points,1
find-winner-on-a-tic-tac-toe-game,1
subtract-the-product-and-sum-of-digits-of-an-integer,1
element-appearing-more-than-25-in-sorted-array,1
convert-binary-number-in-a-linked-list-to-integer,1
find-numbers-with-even-number-of-digits,1
replace-elements-with-greatest-element-on-right-side,1
find-n-unique-integers-sum-up-to-zero,1
decrypt-string-from-alphabet-to-integer-mapping,1
decompress-run-length-encoded-list,1
convert-integer-to-the-sum-of-two-no-zero-integers,1
maximum-69-number,1
rank-transform-of-an-array,1
remove-palindromic-subsequences,1
the-k-weakest-rows-in-a-matrix,1
number-of-steps-to-reduce-a-number-to-zero,1
check-if-n-and-its-double-exist,1
count-negative-numbers-in-a-sorted-matrix,1
sort-integers-by-the-number-of-1-bits,1
single-number,1
number-of-days-between-two-dates,1
how-many-numbers-are-smaller-than-the-current-number,1
increasing-decreasing-string,1
generate-a-string-with-characters-that-have-odd-counts,1
find-a-corresponding-node-of-a-binary-tree-in-a-clone-of-that-tree,1
lucky-numbers-in-a-matrix,1
find-the-distance-value-between-two-arrays,1
create-target-array-in-the-given-order,1
find-lucky-integer-in-an-array,1
count-largest-group,1
minimum-subsequence-in-non-increasing-order,1
string-matching-in-an-array,1
linked-list-cycle,1
minimum-value-to-get-positive-step-by-step-sum,1
reformat-the-string,1
maximum-score-after-splitting-a-string,1
kids-with-the-greatest-number-of-candies,1
destination-city,1
check-if-all-1s-are-at-least-length-k-places-away,1
binary-tree-preorder-traversal,1
consecutive-characters,1
binary-tree-postorder-traversal,1
number-of-students-doing-homework-at-a-given-time,1
check-if-a-word-occurs-as-a-prefix-of-any-word-in-a-sentence,1
make-two-arrays-equal-by-reversing-subarrays,1
maximum-product-of-two-elements-in-an-array,1
shuffle-the-array,1
final-prices-with-a-special-discount-in-a-shop,1
running-sum-of-1d-array,1
xor-operation-in-an-array,1
average-salary-excluding-the-minimum-and-maximum-salary,1
path-crossing,1
can-make-arithmetic-progression-from-sequence,1
reformat-date,1
number-of-good-pairs,1
water-bottles,1
count-odd-numbers-in-an-interval-range,1
shuffle-string,1
count-good-triplets,1
kth-missing-positive-number,0
make-the-string-great,1
three-consecutive-odds,1
thousand-separator,1
most-visited-sector-in-a-circular-track,1
detect-pattern-of-length-m-repeated-k-or-more-times,1
matrix-diagonal-sum,1
replace-all-s-to-avoid-consecutive-repeating-characters,1
special-positions-in-a-binary-matrix,1
sum-of-all-odd-length-subarrays,1
rearrange-spaces-between-words,1
crawler-log-folder,1
intersection-of-two-linked-lists,1
design-parking-system,1
special-array-with-x-elements-greater-than-or-equal-x,0
maximum-nesting-depth-of-the-parentheses,1
mean-of-array-after-removing-some-elements,1
largest-substring-between-two-equal-characters,0
slowest-key,1
sort-array-by-increasing-frequency,1
check-array-formation-through-concatenation,0
get-maximum-in-generated-array,1
defuse-the-bomb,1
design-an-ordered-stream,1
check-if-two-string-arrays-are-equivalent,1
maximum-repeating-substring,1
richest-customer-wealth,1
goal-parser-interpretation,1
excel-sheet-column-title,1
count-the-number-of-consistent-strings,1
count-of-matches-in-tournament,1
majority-element,1
reformat-phone-number,1
number-of-students-unable-to-eat-lunch,0
determine-if-string-halves-are-alike,1
excel-sheet-column-number,1
maximum-units-on-a-truck,1
calculate-money-in-leetcode-bank,1
decode-xored-array,1
number-of-rectangles-that-can-form-the-largest-square,1
find-the-highest-altitude,1
latest-time-by-replacing-hidden-digits,1
maximum-number-of-balls-in-a-box,1
sum-of-unique-elements,1
check-if-array-is-sorted-and-rotated,1
minimum-changes-to-make-alternating-binary-string,1
longest-nice-substring,1
merge-strings-alternately,1
count-items-matching-a-rule,1
find-nearest-point-that-has-the-same-x-or-y-coordinate,1
check-if-binary-string-has-at-most-one-segment-of-ones,1
check-if-one-string-swap-can-make-strings-equal,1
find-center-of-star-graph,1
second-largest-digit-in-a-string,1
maximum-ascending-subarray-sum,1
number-of-different-integers-in-a-string,1
determine-color-of-a-chessboard-square,1
truncate-sentence,1
sign-of-the-product-of-an-array,1
minimum-operations-to-make-the-array-increasing,1
check-if-the-sentence-is-pangram,1
sum-of-digits-in-base-k,1
replace-all-digits-with-characters,1
minimum-distance-to-the-target-element,1
maximum-population-year,1
sorting-the-sentence,1
sum-of-all-subset-xor-totals,1
longer-contiguous-segments-of-ones-than-zeros,1
substrings-of-size-three-with-distinct-characters,1
check-if-word-equals-summation-of-two-words,1
determine-whether-matrix-can-be-obtained-by-rotation,1
check-if-all-the-integers-in-a-range-are-covered,1
redistribute-characters-to-make-all-strings-equal,1
reverse-bits,1
largest-odd-number-in-string,1
remove-one-element-to-make-the-array-strictly-increasing,1
number-of-1-bits,1
maximum-product-difference-between-two-pairs,1
build-array-from-permutation,1
count-square-sum-triples,1
concatenation-of-array,1
maximum-number-of-words-you-can-type,1
check-if-all-characters-have-equal-number-of-occurrences,1
sum-of-digits-of-string-after-convert,1
three-divisors,1
delete-characters-to-make-fancy-string,1
check-if-string-is-a-prefix-of-array,1
number-of-strings-that-appear-as-substrings-in-word,1
find-if-path-exists-in-graph,1
minimum-time-to-type-word-using-special-typewriter,1
find-greatest-common-divisor-of-array,1
minimum-difference-between-highest-and-lowest-of-k-scores,1
find-the-middle-index-in-array,1
count-special-quadruplets,1
reverse-prefix-of-word,1
count-number-of-pairs-with-absolute-difference-k,1
final-value-of-variable-after-performing-operations,1
maximum-difference-between-increasing-elements,1
happy-number,1
convert-1d-array-into-2d-array,1
minimum-moves-to-convert-string,1
remove-linked-list-elements,1
two-out-of-three,1
minimum-number-of-moves-to-seat-everyone,1
check-if-numbers-are-ascending-in-a-sentence,1
number-of-valid-words-in-a-sentence,1
isomorphic-strings,1
kth-distinct-string-in-an-array,1
smallest-index-with-equal-value,1
reverse-linked-list,1
count-vowel-substrings-of-a-string,1
check-whether-two-strings-are-almost-equivalent,0
time-needed-to-buy-tickets,0
two-furthest-houses-with-different-colors,1
count-common-words-with-one-occurrence,1
find-target-indices-after-sorting-array,0
finding-3-digit-even-numbers,1
find-subsequence-of-length-k-with-the-largest-sum,0
rings-and-rods,1
find-first-palindromic-string-in-the-array,1
maximum-number-of-words-found-in-sentences,1
a-number-after-a-double-reversal,0
check-if-all-as-appears-before-all-bs,0
capitalize-the-title,1
check-if-every-row-and-column-contains-all-numbers,1
divide-a-string-into-groups-of-size-k,1
minimum-cost-of-buying-candies-with-discount,0
count-elements-with-strictly-smaller-and-greater-elements,1
keep-multiplying-found-values-by-two,1
minimum-sum-of-four-digit-number-after-splitting-digits,0
sort-even-and-odd-indices-independently,1
count-operations-to-obtain-zero,1
contains-duplicate,1
count-equal-and-divisible-pairs-in-an-array,0
count-integers-with-even-digit-sum,1
counting-words-with-a-given-prefix,1
contains-duplicate-ii,1
most-frequent-number-following-key-in-an-array,1
cells-in-a-range-on-an-excel-sheet,0
find-all-k-distant-indices-in-an-array,0
divide-array-into-equal-pairs,1
count-hills-and-valleys-in-an-array,0
find-the-difference-of-two-arrays,1
minimum-bit-flips-to-convert-number,0
minimum-number-of-operations-to-convert-time,1
largest-number-after-digit-swaps-by-parity,1
add-two-integers,1
root-equals-sum-of-children,1
find-closest-number-to-zero,1
calculate-digit-sum-of-a-string,1
intersection-of-multiple-arrays,1
implement-stack-using-queues,1
count-prefixes-of-a-given-string,1
remove-digit-from-number-to-maximize-result,1
invert-binary-tree,1
largest-3-same-digit-number-in-string,1
find-the-k-beauty-of-a-number,1
find-resultant-array-after-removing-anagrams,0
percentage-of-letter-in-string,1
summary-ranges,1
check-if-number-has-equal-digit-count-and-digit-value,1
rearrange-characters-to-make-target-string,0
min-max-game,1
strong-password-checker-ii,1
calculate-amount-paid-in-taxes,1
greatest-english-letter-in-upper-and-lower-case,0
power-of-two,1
count-asterisks,0
check-if-matrix-is-x-matrix,0
implement-queue-using-stacks,1
decode-the-message,0
evaluate-boolean-binary-tree,1
minimum-amount-of-time-to-fill-cups,0
palindrome-linked-list,1
maximum-number-of-pairs-in-array,1
best-poker-hand,0
first-letter-to-appear-twice,1
make-array-zero-by-subtracting-equal-amounts,0
merge-similar-items,1
number-of-arithmetic-triplets,0
largest-local-values-in-a-matrix,1
minimum-recolors-to-get-k-consecutive-black-blocks,0
minimum-hours-of-training-to-win-a-competition,0
longest-subsequence-with-limited-sum,1
find-subarrays-with-equal-sum,0
check-distances-between-same-letters,1
most-frequent-even-element,1
count-days-spent-together,0
smallest-even-multiple,1
sort-the-people,1
valid-anagram,1
remove-letter-to-equalize-frequency,0
number-of-common-factors,1
the-employee-that-worked-on-the-longest-task,0
number-of-valid-clock-times,0
largest-positive-integer-that-exists-with-its-negative,1
determine-if-two-events-have-conflict,0
odd-string-difference,0
average-value-of-even-numbers-that-are-divisible-by-three,1
apply-operations-to-an-array,1
number-of-distinct-averages,1
convert-the-temperature,1
number-of-unequal-triplets-in-array,1
minimum-cuts-to-divide-a-circle,1
find-the-pivot-integer,1
circular-sentence,1
maximum-value-of-a-string-in-an-array,1
delete-greatest-value-in-each-row,0
count-pairs-of-similar-strings,0
maximum-enemy-forts-that-can-be-captured,0
shortest-distance-to-target-string-in-a-circular-array,1
count-the-digits-that-divide-a-number,1
categorize-box-according-to-criteria,0
maximum-count-of-positive-integer-and-negative-integer,1
difference-between-element-sum-and-digit-sum-of-an-array,1
minimum-common-value,1
alternating-digit-sum,1
count-distinct-numbers-on-board,0
separate-the-digits-in-an-array,1
take-gifts-from-the-richest-pile,0
find-the-array-concatenation-value,1
maximum-difference-by-remapping-a-digit,0
binary-tree-paths,1
merge-two-2d-arrays-by-summing-values,1
left-and-right-sum-differences,1
split-with-minimum-sum,1
add-digits,1
pass-the-pillow,1
count-the-number-of-vowel-strings-in-range,1
distribute-money-to-maximum-children,0
number-of-even-and-odd-bits,0
k-items-with-the-maximum-sum,1
form-smallest-number-from-two-digit-arrays,1
find-the-longest-balanced-substring-of-a-binary-string,0
prime-in-diagonal,1
ugly-number,1
missing-number,1
first-bad-version,1
move-zeroes,1
word-pattern,1
nim-game,1
range-sum-query-immutable,1
power-of-three,1
counting-bits,1
power-of-four,1
reverse-string,1
reverse-vowels-of-a-string,1
intersection-of-two-arrays,1
intersection-of-two-arrays-ii,1
valid-perfect-square,1
guess-number-higher-or-lower,1
ransom-note,1
first-unique-character-in-a-string,1
find-the-difference,1
is-subsequence,1
binary-watch,1
sum-of-left-leaves,1
convert-a-number-to-hexadecimal,1
longest-palindrome,1
fizz-buzz,1
third-maximum-number,1
add-strings,0
number-of-segments-in-a-string,1
arranging-coins,0
find-all-numbers-disappeared-in-an-array,1
assign-cookies,1
repeated-substring-pattern,1
hamming-distance,1
island-perimeter,1
number-complement,1
license-key-formatting,1
max-consecutive-ones,1
construct-the-rectangle,1
teemo-attacking,1
next-greater-element-i,0
keyboard-row,1
find-mode-in-binary-search-tree,1
base-7,1
relative-ranks,1
perfect-number,1
fibonacci-number,1
detect-capital,1
longest-uncommon-subsequence-i,1
minimum-absolute-difference-in-bst,1
reverse-string-ii,1
diameter-of-binary-tree,1
student-attendance-record-i,1
reverse-words-in-a-string-iii,1
maximum-depth-of-n-ary-tree,1
array-partition,1
binary-tree-tilt,1
reshape-the-matrix,1
subtree-of-another-tree,1
distribute-candies,1
n-ary-tree-preorder-traversal,1
n-ary-tree-postorder-traversal,1
longest-harmonious-subsequence,1
range-addition-ii,1
minimum-index-sum-of-two-lists,1
can-place-flowers,1
construct-string-from-binary-tree,1
merge-two-binary-trees,1
maximum-product-of-three-numbers,1
average-of-levels-in-binary-tree,1
maximum-average-subarray-i,1
set-mismatch,1
two-sum-iv-input-is-a-bst,1
robot-return-to-origin,1
image-smoother,1
second-minimum-node-in-a-binary-tree,0
longest-continuous-increasing-subsequence,1
valid-palindrome-ii,1
baseball-game,1
binary-number-with-alternating-bits,1
count-binary-substrings,1
degree-of-an-array,1
search-in-a-binary-search-tree,1
kth-largest-element-in-a-stream,1
binary-search,1
design-hashset,1
design-hashmap,1
to-lower-case,1
1-bit-and-2-bit-characters,1
find-pivot-index,1
self-dividing-numbers,1
flood-fill,1
find-smallest-letter-greater-than-target,1
min-cost-climbing-stairs,0
largest-number-at-least-twice-of-others,1
shortest-completing-word,1
prime-number-of-set-bits-in-binary-representation,1
toeplitz-matrix,1
