slug,total_testcases,total_correct,runtime_percentile,state,status_msg,memory_percentile,processed,is_pass,difficulty
count-the-number-of-square-free-subsets,44.0,23.0,,SUCCESS,,Wrong Answer,True,0,Medium
take-k-of-each-character-from-left-and-right,142.0,125.0,,SUCCESS,,Wrong Answer,True,0,Medium
most-profitable-path-in-a-tree,31.0,0.0,,SUCCESS,,Wrong Answer,True,0,Medium
subsequence-with-the-minimum-score,54.0,22.0,,SUCCESS,,Wrong Answer,True,0,Hard
maximize-the-minimum-powered-city,30.0,9.0,,SUCCESS,,Wrong Answer,True,0,Hard
number-of-beautiful-partitions,74.0,31.0,,SUCCESS,,Wrong Answer,True,0,Hard
split-message-based-on-limit,94.0,86.0,,SUCCESS,,Wrong Answer,True,0,Hard
maximum-number-of-non-overlapping-palindrome-substrings,56.0,10.0,,SUCCESS,,Wrong Answer,True,0,Hard
height-of-binary-tree-after-subtree-removal-queries,40.0,0.0,,SUCCESS,,Wrong Answer,True,0,Hard
longest-increasing-subsequence-ii,84.0,76.0,,SUCCESS,,Wrong Answer,True,0,Hard
find-the-k-sum-of-an-array,111.0,7.0,,SUCCESS,,Wrong Answer,True,0,Hard
maximum-total-beauty-of-the-gardens,77.0,43.0,,SUCCESS,,Wrong Answer,True,0,Hard
count-good-triplets-in-an-array,148.0,30.0,,SUCCESS,,Wrong Answer,True,0,Hard
maximum-fruits-harvested-after-at-most-k-steps,202.0,95.0,,SUCCESS,,Wrong Answer,True,0,Hard
sequentially-ordinal-rank-tracker,81.0,3.0,,SUCCESS,,Wrong Answer,True,0,Hard
maximum-number-of-tasks-you-can-assign,49.0,30.0,,SUCCESS,,Wrong Answer,True,0,Hard
number-of-valid-move-combinations-on-chessboard,273.0,202.0,,SUCCESS,,Wrong Answer,True,0,Hard
maximum-number-of-ways-to-partition-an-array,178.0,125.0,,SUCCESS,,Wrong Answer,True,0,Hard
find-array-given-subset-sums,131.0,14.0,,SUCCESS,,Wrong Answer,True,0,Hard
number-of-ways-to-separate-numbers,257.0,35.0,,SUCCESS,,Wrong Answer,True,0,Hard
longest-common-subpath,81.0,68.0,,SUCCESS,,Wrong Answer,True,0,Hard
minimum-cost-to-reach-destination-in-time,93.0,86.0,,SUCCESS,,Wrong Answer,True,0,Hard
the-earliest-and-latest-rounds-where-players-compete,137.0,77.0,,SUCCESS,,Wrong Answer,True,0,Hard
design-movie-rental-system,42.0,23.0,,SUCCESS,,Wrong Answer,True,1,Hard
minimum-skips-to-arrive-at-meeting-on-time,61.0,60.0,,SUCCESS,,Wrong Answer,True,0,Hard
finding-mk-average,17.0,7.0,,SUCCESS,,Wrong Answer,True,0,Hard
maximum-number-of-groups-getting-fresh-donuts,74.0,1.0,,SUCCESS,,Wrong Answer,True,0,Hard
tree-of-coprimes,37.0,1.0,,SUCCESS,,Wrong Answer,True,0,Hard
minimum-adjacent-swaps-for-k-consecutive-ones,117.0,3.0,,SUCCESS,,Wrong Answer,True,0,Hard
minimum-initial-energy-to-finish-tasks,42.0,4.0,,SUCCESS,,Wrong Answer,True,0,Hard
parallel-courses-ii,82.0,69.0,,SUCCESS,,Wrong Answer,True,1,Hard
probability-of-a-two-boxes-having-the-same-number-of-distinct-balls,21.0,5.0,,SUCCESS,,Wrong Answer,True,0,Hard
increment-submatrices-by-one,31.0,17.0,,SUCCESS,,Time Limit Exceeded,True,1,Medium
minimum-reverse-operations,711.0,698.0,,SUCCESS,,Time Limit Exceeded,True,0,Hard
handling-sum-queries-after-update,77.0,73.0,,SUCCESS,,Time Limit Exceeded,True,0,Hard
groups-of-strings,97.0,95.0,,SUCCESS,,Time Limit Exceeded,True,0,Hard
kth-smallest-product-of-two-sorted-arrays,112.0,98.0,,SUCCESS,,Time Limit Exceeded,True,0,Hard
find-servers-that-handled-most-number-of-requests,108.0,100.0,,SUCCESS,,Time Limit Exceeded,True,0,Hard
stone-game-v,132.0,131.0,,SUCCESS,,Time Limit Exceeded,True,1,Hard
count-collisions-of-monkeys-on-a-polygon,83.0,0.0,,SUCCESS,,Runtime Error,True,0,Medium
maximum-segment-sum-after-removals,42.0,0.0,,SUCCESS,,Runtime Error,True,0,Hard
abbreviating-the-product-of-a-range,292.0,3.0,,SUCCESS,,Runtime Error,True,1,Hard
sum-of-k-mirror-numbers,97.0,0.0,,SUCCESS,,Runtime Error,True,1,Hard
minimum-number-of-days-to-eat-n-oranges,176.0,0.0,,SUCCESS,,Runtime Error,True,1,Hard
find-the-longest-balanced-substring-of-a-binary-string,1848.0,1848.0,37.1727,SUCCESS,31.9371,Accepted,True,0,Easy
prime-in-diagonal,82.0,82.0,100,SUCCESS,44.156,Accepted,True,1,Easy
k-items-with-the-maximum-sum,1310.0,1310.0,100,SUCCESS,87.9765,Accepted,True,1,Easy
left-and-right-sum-differences,53.0,53.0,46.8098,SUCCESS,55.4603,Accepted,True,1,Easy
merge-two-2d-arrays-by-summing-values,39.0,39.0,22.483,SUCCESS,16.9568,Accepted,True,1,Easy
find-the-array-concatenation-value,53.0,53.0,72.3493,SUCCESS,34.0957,Accepted,True,1,Easy
take-gifts-from-the-richest-pile,103.0,103.0,83.4441,SUCCESS,10.1728,Accepted,True,0,Easy
count-distinct-numbers-on-board,100.0,100.0,100,SUCCESS,78.1819,Accepted,True,0,Easy
form-smallest-number-from-two-digit-arrays,388.0,388.0,11.1112,SUCCESS,11.1112,Accepted,True,1,Easy
distribute-money-to-maximum-children,3802.0,3802.0,100,SUCCESS,21.4286,Accepted,True,0,Easy
number-of-even-and-odd-bits,1003.0,1003.0,100,SUCCESS,18.8992,Accepted,True,0,Easy
count-the-number-of-vowel-strings-in-range,1053.0,1053.0,100,SUCCESS,33.657,Accepted,True,1,Easy
pass-the-pillow,68.0,68.0,100,SUCCESS,90.5229,Accepted,True,1,Easy
separate-the-digits-in-an-array,52.0,52.0,85.0364,SUCCESS,52.5546,Accepted,True,1,Easy
minimum-common-value,41.0,41.0,91.2305,SUCCESS,29.0633,Accepted,True,1,Easy
alternating-digit-sum,118.0,118.0,100,SUCCESS,14.5252,Accepted,True,1,Easy
difference-between-element-sum-and-digit-sum-of-an-array,142.0,142.0,31.8396,SUCCESS,72.0822,Accepted,True,1,Easy
categorize-box-according-to-criteria,50.0,50.0,100,SUCCESS,36.8421,Accepted,True,0,Easy
maximum-count-of-positive-integer-and-negative-integer,169.0,169.0,100,SUCCESS,71.2316,Accepted,True,1,Easy
count-the-digits-that-divide-a-number,56.0,56.0,100,SUCCESS,98.3936,Accepted,True,1,Easy
maximum-enemy-forts-that-can-be-captured,45.0,45.0,100,SUCCESS,41.1951,Accepted,True,0,Easy
shortest-distance-to-target-string-in-a-circular-array,164.0,164.0,100,SUCCESS,98.2684,Accepted,True,1,Easy
count-pairs-of-similar-strings,225.0,225.0,32.5692,SUCCESS,27.6759,Accepted,True,0,Easy
maximum-value-of-a-string-in-an-array,64.0,64.0,100,SUCCESS,51.6484,Accepted,True,1,Easy
delete-greatest-value-in-each-row,55.0,55.0,93.9464,SUCCESS,82.0722,Accepted,True,0,Easy
circular-sentence,266.0,266.0,100,SUCCESS,81.7699,Accepted,True,1,Easy
minimum-cuts-to-divide-a-circle,100.0,100.0,2.005,SUCCESS,56.391,Accepted,True,1,Easy
find-the-pivot-integer,428.0,428.0,55.9171,SUCCESS,39.7435,Accepted,True,1,Easy
number-of-unequal-triplets-in-array,104.0,104.0,70.6514,SUCCESS,58.6994,Accepted,True,1,Easy
number-of-distinct-averages,36.0,36.0,100,SUCCESS,24.0983,Accepted,True,1,Easy
convert-the-temperature,74.0,74.0,100,SUCCESS,84.7265,Accepted,True,1,Easy
apply-operations-to-an-array,36.0,36.0,100,SUCCESS,7.0345,Accepted,True,1,Easy
average-value-of-even-numbers-that-are-divisible-by-three,181.0,181.0,33.5272,SUCCESS,27.7132,Accepted,True,1,Easy
remove-letter-to-equalize-frequency,50.0,50.0,16.4138,SUCCESS,88.4138,Accepted,True,0,Easy
number-of-valid-clock-times,53.0,53.0,100,SUCCESS,36.478,Accepted,True,0,Easy
largest-positive-integer-that-exists-with-its-negative,339.0,339.0,100,SUCCESS,29.3651,Accepted,True,1,Easy
the-employee-that-worked-on-the-longest-task,514.0,514.0,78.5714,SUCCESS,22.3214,Accepted,True,0,Easy
number-of-common-factors,76.0,76.0,100,SUCCESS,22.6376,Accepted,True,1,Easy
count-days-spent-together,51.0,51.0,100,SUCCESS,90.1042,Accepted,True,0,Easy
smallest-even-multiple,150.0,150.0,100,SUCCESS,36.2411,Accepted,True,1,Easy
most-frequent-even-element,219.0,219.0,53.2481,SUCCESS,94.9803,Accepted,True,1,Easy
find-subarrays-with-equal-sum,42.0,42.0,100,SUCCESS,43.5727,Accepted,True,0,Easy
check-distances-between-same-letters,335.0,335.0,100,SUCCESS,36.6438,Accepted,True,1,Easy
longest-subsequence-with-limited-sum,57.0,57.0,65.7516,SUCCESS,25.4248,Accepted,True,1,Easy
minimum-recolors-to-get-k-consecutive-black-blocks,122.0,122.0,12.796,SUCCESS,60.0768,Accepted,True,0,Easy
minimum-hours-of-training-to-win-a-competition,111.0,111.0,100,SUCCESS,79.3104,Accepted,True,0,Easy
largest-local-values-in-a-matrix,50.0,50.0,96.2247,SUCCESS,85.2856,Accepted,True,1,Easy
merge-similar-items,49.0,49.0,100,SUCCESS,80.7228,Accepted,True,1,Easy
number-of-arithmetic-triplets,104.0,104.0,100,SUCCESS,58.1321,Accepted,True,0,Easy
make-array-zero-by-subtracting-equal-amounts,95.0,95.0,100,SUCCESS,52.2909,Accepted,True,0,Easy
best-poker-hand,98.0,98.0,100,SUCCESS,37.2602,Accepted,True,0,Easy
first-letter-to-appear-twice,92.0,92.0,100,SUCCESS,99.2298,Accepted,True,1,Easy
maximum-number-of-pairs-in-array,128.0,128.0,15.0851,SUCCESS,37.2262,Accepted,True,1,Easy
evaluate-boolean-binary-tree,75.0,75.0,100,SUCCESS,45.3948,Accepted,True,1,Easy
minimum-amount-of-time-to-fill-cups,280.0,280.0,100,SUCCESS,81.3954,Accepted,True,0,Easy
decode-the-message,69.0,69.0,53.3108,SUCCESS,46.2649,Accepted,True,0,Easy
count-asterisks,69.0,69.0,100,SUCCESS,60.1279,Accepted,True,0,Easy
check-if-matrix-is-x-matrix,84.0,84.0,70.2778,SUCCESS,70.5556,Accepted,True,0,Easy
min-max-game,96.0,96.0,25.8171,SUCCESS,40.8497,Accepted,True,1,Easy
root-equals-sum-of-children,309.0,309.0,100,SUCCESS,24.162,Accepted,True,1,Easy
add-two-integers,262.0,262.0,100,SUCCESS,71.81,Accepted,True,1,Easy
check-if-number-has-equal-digit-count-and-digit-value,433.0,433.0,100,SUCCESS,86.46,Accepted,True,1,Easy
rearrange-characters-to-make-target-string,116.0,116.0,100,SUCCESS,88.5057,Accepted,True,0,Easy
calculate-digit-sum-of-a-string,121.0,121.0,100,SUCCESS,98.8806,Accepted,True,1,Easy
find-closest-number-to-zero,227.0,227.0,22.7052,SUCCESS,45.898,Accepted,True,1,Easy
largest-3-same-digit-number-in-string,141.0,141.0,18.555,SUCCESS,41.0509,Accepted,True,1,Easy
minimum-number-of-operations-to-convert-time,256.0,256.0,100,SUCCESS,89.5623,Accepted,True,1,Easy
count-prefixes-of-a-given-string,123.0,123.0,100,SUCCESS,29.3135,Accepted,True,1,Easy
remove-digit-from-number-to-maximize-result,112.0,112.0,100,SUCCESS,10.5702,Accepted,True,1,Easy
intersection-of-multiple-arrays,151.0,151.0,100,SUCCESS,69.4482,Accepted,True,1,Easy
